,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_2386379,41.88589,45.96349,44.90859,56.4867,48.96541,44.15515,40.81923,68.0811,60.09114,61.33397,71.0809,65.45454,56.46231,76.72597,64.08868,85.52203,63.87181,74.8849,65.07005,62.79994,68.79086,68.28542
ILMN_2245180,51.02752,42.85974,45.53389,61.67741,46.82914,45.14615,43.77969,75.3536,63.72563,61.29431,69.36721,61.16016,66.09241,82.88337,65.96462,71.63636,77.69642,69.97572,68.57613,70.05635,71.27263,76.95281
ILMN_1764168,41.52195,41.84816,36.49545,47.45686,50.42822,50.69801,38.83367,50.47897,56.41992,46.92036,42.33493,55.66444,46.30759,54.53447,51.14837,63.52949,48.30923,50.68163,53.7384,49.01237,58.70341,47472
ILMN_2271149,44.56211,40.20764,36.46279,43.06599,45.74626,40.72949,44.10104,57.88684,65.15553,50.31427,61.02611,55.42971,54.97755,66.49378,57.07365,73.1498,67.8494,61.01135,60.03777,56.77463,57.67539,58.83493
ILMN_1687940,45.46307,44.25299,47.07157,51.39961,50.24723,54.03102,41.95757,69.12585,77.91254,70.7913,72.87154,75.43723,78.00886,90.38329,70.25497,92.50903,76.7403,83.2612,72.65411,70.01542,77.12411,66.79104
ILMN_2056932,46.55661,55.78861,47.42523,75.31271,66.70599,54.03733,46.7009,72.8754,67.3914,62.21656,65.95969,68.51385,72.26385,73.37535,61.36178,78.72436,69.05538,65.38412,63.36057,63.12902,66.41788,70.57745
ILMN_1652715,40.46774,39.22741,40.53084,50.89149,50.65645,41.77208,43.93248,57.21926,62.1727,52.66476,56.39618,56.33288,50.60611,65.2812,55.28205,73.09338,54.52847,60.81137,56.46806,61.03347,58.3973,57.11884
ILMN_1682910,315.8156,192.6295,143.7017,200.5412,296.6284,100946,324.3581,1197216,388.9014,611.1011,182.9779,144518,447.0263,761.2927,91.23145,3285771,306.7412,1075866,466.7842,843.9706,395.0982,257.5396
ILMN_1702700,44.29285,46.23676,42.66405,58.09567,53.65533,49.00901,43.73189,80.32171,72.13898,76.72068,78.66498,66.85215,68.20172,85.72011,67.02741,98.57313,76.94181,82.55892,71.65838,71.24979,76.86185,73.51942
ILMN_1770087,46.60163,271.0761,97.06502,67.67091,64.86888,132.3523,44.95583,96.37742,95.42159,180.8962,103.1988,276.7083,178.6861,154684,100.7205,251.5146,94.98053,139.0297,175.5057,105.8868,204.7414,171.1833
ILMN_2364072,57.40223,73.35375,91.88317,126.8132,82.59935,57.16752,69.02915,129.7713,92.37943,107.6645,138839,59.14369,106.3503,144.7587,106.0732,152.4416,120.0493,144005,123.1263,139956,166.5505,124.4818
ILMN_2166831,897.0536,1000439,2334054,995.0022,1788835,2619024,4207406,2527798,1004932,3637.61,1286893,3792268,1453.34,3214602,1574462,10042.32,2364981,2361651,3115875,1540881,1952788,3289365
ILMN_1726280,502.5529,1079276,793.8536,464.0764,1154969,1176462,1500874,2728208,1246497,1628183,381.1497,1625643,676.1219,1613898,833.5409,2686018,1306454,2386746,3420458,1263.73,669.1689,2292648
ILMN_1665686,118.0462,180.4261,198.0427,264.2464,299.4605,412.9552,130.5626,535.5876,269.4184,245.4896,801.2773,740.3599,423.6839,1406766,708.4981,158.3391,427.4844,485.5356,299.8932,338685,370.4458,314.9859
ILMN_2392940,90.88445,103.9433,133.0195,175.5553,164.4594,112.9463,117.0732,136.4236,113.9938,161.9225,155.8651,183.3518,149.2734,206.1634,133158,228.2749,152.6366,173.2915,178.0486,126.1857,163.2465,156.5748
